family_id,source_family,scope,status,priority,coverage_rule,next_action
FAM-001,Pokémon official Japan X/Y site tree,XY,started,critical,"Enumerate product/system/communication/news/campaign/event pages and surviving documents","Crawl every dated news entry and linked campaign page"
FAM-002,Nintendo Japan X/Y product/support/update/manual material,XY,started,critical,"Enumerate product, update revisions, manuals, support notices and service-termination material","Recover historical update pages and manual variants"
FAM-003,Pokémon.com localized X/Y pages,XY,started,high,"Enumerate EN/FR/DE/ES/IT localized official game pages and linked Gen VI articles","Register FR/DE/ES now; locate IT X/Y and language-specific event pages"
FAM-004,Nintendo regional X/Y support and manuals,XY,started,critical,"Enumerate North America, Europe/UK, Korea, Hong Kong/Taiwan and other supported regional official pages","Expand beyond NOA into EU/KR/HK regional support/manual/update trees"
FAM-005,Korean Nintendo/Pokémon official X/Y material,XY,started,critical,"Enumerate product, event, tournament, distribution, demo, video and support pages","Crawl Nintendo Korea pkm_event series and recover Pokémon Korea product/event pages"
FAM-006,Official Gen VI videos and presentations,XY,not_started,high,"Inventory Pokémon Direct, launch trailers, feature videos and official regional YouTube uploads with dates/locales","Build video source index by market/language"
FAM-007,Official print/guidebook metadata,XY,not_started,medium,"Identify official guidebooks/manuals/strategy books and bibliographic metadata without mirroring copyrighted books","Build publication bibliography and availability map"
FAM-008,pk3DS canonical implementation,XY+ORAS,started,critical,"Index relevant files, commits, tests, mappings and linked research","Continue only alongside broader census"
FAM-009,pk3DS historical forks/lineage,XY+ORAS,started,high,"Identify historically significant forks and changes that preserve early Gen VI discoveries","Diff SciresM and other materially divergent forks"
FAM-010,Project Shutan Gen VI wiki,Gen VI,started,critical,"Enumerate every page under How Pokemon XY works and linked references","Create page-by-page index with confidence/TODO state"
FAM-011,CTRMap and CTRMap-F5,XY+ORAS,started,critical,"Index world/map/script/zone/collision formats, tests and documented validation","Enumerate both repos and diff format assumptions"
FAM-012,PKHeX Gen VI implementation,XY+ORAS,not_started,critical,"Index PK6/EK6, SAV6XY/SAV6AO, WC6, legality, event and save substructures","Create Gen VI class/file inventory"
FAM-013,Project Pokémon 3DS R&D forum,Gen VI,started,critical,"Enumerate every relevant forum page/topic/attachment/mirror including XYTE, XYWE and Personal.Garc tools","Crawl all forum pagination and register each distinct research thread"
FAM-014,Project Pokémon Gen VI save research,XY+ORAS,started,critical,"Enumerate X/Y and ORAS save/checksum/RAM/PC/Pokémon Link research","Split each thread/document into source records"
FAM-015,Project Pokémon EventsGallery and event archives,Gen VI,started,critical,"Inventory all Gen VI WC6/WC6Full records, languages, regions, distribution dates and compatibility metadata","Enumerate repository Gen VI event directories and metadata"
FAM-016,3dbrew 3DS platform documentation,Nintendo 3DS,started,critical,"Enumerate NCCH/CXI/CFA/ExeFS/RomFS/CRO/services/GPU/audio pages relevant to Gen VI","Register individual technical pages"
FAM-017,3DS container/tool implementations,Nintendo 3DS,started,critical,"Index Project_CTR, 3dstool, devkitPro 3dstools and other independent implementations","Add 3dstool/3dstools and compare format behavior"
FAM-018,3DS emulator implementations,Nintendo 3DS,started,high,"Index Azahar/Citra lineage loader, filesystem, CRO, GPU, audio and service implementations","Map relevant source modules"
FAM-019,3DS graphics/model toolchain,XY+ORAS,started,critical,"Index Ohana3DS-Rebirth, SPICA, n3ds_importer, citro3d, tex3ds and historical graphics tools","Build format crosswalk for BCH/H3D/GFModel/GFMotion/GFTexture/PICA200"
FAM-020,3DS audio research/toolchain,XY+ORAS,started,critical,"Inventory BCSAR/BCSTM/BCWAV/sequence/bank tooling, vgmstream and soundtrack metadata","Index vgmstream and locate Gen VI-specific BCSAR research"
FAM-021,Pokémon Showdown Gen VI battle implementation,Gen VI,started,high,"Index gen6 mechanics overrides, moves, abilities, items, formats and historical fixes","Create battle cross-check source map"
FAM-022,Serebii X/Y hub,X/Y,started,high,"Enumerate every X/Y hub child page including systems/events/patches/pre-release/locations","Build page inventory rather than sampling selected pages"
FAM-023,Bulbapedia Generation VI coverage,Gen VI,started,high,"Enumerate game, mechanic, patch, glitch, event, location and version-difference categories and trace citations","Build category coverage map"
FAM-024,The Cutting Room Floor X/Y,X/Y,access_limited,high,"Enumerate unused/debug/beta pages and revisions; use archives when live crawler is blocked","Recover via Wayback/search mirrors and register accessible evidence"
FAM-025,Internet Archive/Wayback Gen VI preservation,Gen VI,not_started,critical,"Recover deleted official pages, PGL, campaigns, events and historical regional material with timestamps","Start with JP official URLs and regional product/event pages"
FAM-026,GameFAQs historical X/Y guides,X/Y,started,medium,"Enumerate substantial mechanics/location/translation guides as secondary contemporaneous evidence","Register distinct guides and revision dates"
